|Material|Texto breve                             | Item|Doc.compra|Preço líq.|
|42945   |TAMPAO 47MM ENCAIXE ACO CARBONO         | 4760|4600176606|     7,13 |
|284385  |ROLAMENTO AGULHAS RC040708              | 4770|4600176606|    34,56 |
|132094  |PAPELAO HIDRAULICO 1,60MM UN 1500MM 1600| 4780|4600176606|   347,60 |
|650283  |ROL AXIAL ESFERAS QJ-322-N2MA           | 4790|4600176606| 4.394,88 |
|439240  |SELO MEC 1.1/8" TS-P                    | 4800|4600176606|    14,70 |
|902734  |RETEN 40MM 72MM 10MM NBR                | 4810|4600176606|     7,62 |
|182815  |EMENDA CORRENTE 19,05MM SPL             | 4830|4600176606|     1,87 |
|21492   |BORRACHA BUNA CORDAO RED 4,50MM 4,50MM 7| 4840|4600176606|     1,87 |
|5011    |CORR AC 08A-2 12,70MM 7,95MM 7,95MM     | 4850|4600176606|    30,24 |
|610530  |MEIA EMENDA 12,70MM DP 08B-2            | 4870|4600176606|     2,01 |
|177628  |ROL ROLOS CONICOS 30210 J2              | 4880|4600176606|    54,10 |
|582038  |CORR V BRCH NEO/POL C-123 3891,00MM     | 4900|4600176606|    41,08 |
|11219   |SELO MEC 1.3/4" T21                     | 4960|4600176606|    59,89 |
|47460   |ROLAMENTO RIGIDO ESFERAS 6222-ZZ-C3     | 4970|4600176606|   383,79 |
|582863  |ROL AUTOCOMPENSADOR ROLOS 23028-CC-C3-W3| 4980|4600176606| 1.146,02 |
|86155   |MANCAL MONOB FOFO T-211                 | 4990|4600176606|    94,12 |
|536308  |SELO MEC 28MM T05-0578S                 | 5000|4600176606|   147,84 |
|403067  |SELO MEC 5/8" 15T16V                    | 5020|4600176606|    19,13 |
|41049   |SELO MEC 1" TIPO-1                      | 5030|4600176606|    33,00 |
|39276   |MANGUEIRA 5050 STEIN                    | 5100|4600176606|    37,76 |
|50149   |MANG OL HID 3/8" BCH SINT 330BAR (-)40/1| 5120|4600176606|    15,60 |
|869453  |MANG P/ LIQ ALIM 3/8X1,5MM PVC 50PSI    | 5160|4600176606|     1,06 |
|836880  |BICO GRAXEIRO 90° 20MM INOX 6MM METRICA | 5200|4600176606|    10,51 |
|943936  |ANEL RETENCAO EIXO 10MM DIN-471         | 5300|4600176606|     3,30 |
|914673  |ROL RIG ESF 6207 ZZ C3                  | 5370|4600176606|    18,96 |
|983198  |RETEN 90MM 110MM 13MM FKM               | 5380|4600176606|    28,62 |
|477523  | PTFE                                   | 5440|4600176606| 2.342,52 |
|655762  |ELEM ELAST ACOPLAMENTO GR-28            | 5460|4600176606|    57,70 |
|167004  |ROLAMENTO RIGIDO ESFERAS 6315C4         | 5500|4600176606|   331,90 |
|133151  |ROL ESF CONT ANG 311315                 | 5520|4600176606|    40,94 |
|18210   |ROLAMENTO RADIAL ESFERA YAR-204-2F      | 5530|4600176606|    17,52 |
|934043  |RETEN 45MM 75MM 8MM NBR                 | 5580|4600176606|    10,79 |
|481262  |RETEN 55MM 72MM 9MM NBR                 | 5590|4600176606|     6,56 |
